Username,Content,translated_experience,lowercased,emojis_removed,slangs_replaced,contractions_replaced,punctuations_removed,numbers_removed,spelling_corrected,stopwords_removed,stemmed_words,lemmatized
kaylascutethings,"My boyfriend & I were long distance for two years, & now we're living together! It's so crazy to think back to all of the times I cried because I wanted to fast forward to this, & now I'm here ??","My boyfriend & I were long distance for two years, & now we're living together! It's so crazy to think back to all of the times I cried because I wanted to fast forward to this, & now I'm here ??","my boyfriend & i were long distance for two years, & now we're living together! it's so crazy to think back to all of the times i cried because i wanted to fast forward to this, & now i'm here ??","my boyfriend & i were long distance for two years, & now we're living together! it's so crazy to think back to all of the times i cried because i wanted to fast forward to this, & now i'm here ??","my boyfriend & i were long distance for two years, & now we're living together! it's so crazy to think back to all of the times i cried because i wanted to fast forward to this, & now i'm here ??","my boyfriend & i were long distance for two years, & now we are living together! it is so crazy to think back to all of the times i cried because i wanted to fast forward to this, & now i am here ??",my boyfriend  i were long distance for two years  now we are living together it is so crazy to think back to all of the times i cried because i wanted to fast forward to this  now i am here ,my boyfriend  i were long distance for two years  now we are living together it is so crazy to think back to all of the times i cried because i wanted to fast forward to this  now i am here ,my boyfriend i were long distance for two years now we are living together it is so crazy to think back to all of the times i cried because i wanted to fast forward to this now i am here,boyfriend long distance two years living together crazy think back times cried wanted fast forward,boyfriend long distanc two year live togeth crazi think back time cri want fast forward,boyfriend long distance two year live together crazy think back time cry wanted fast forward
agusdee_,"7 years of long distance, married last year ????????????????and hopefully this year we finally get to live in the same place. No more goodbyes. ??????","7 years of long distance, married last year ????????????????and hopefully this year we finally get to live in the same place. No more goodbyes. ??????","7 years of long distance, married last year ????????????????and hopefully this year we finally get to live in the same place. no more goodbyes. ??????","7 years of long distance, married last year ????????????????and hopefully this year we finally get to live in the same place. no more goodbyes. ??????","7 years of long distance, married last year ????????????????and hopefully this year we finally get to live in the same place. no more goodbyes. ??????","7 years of long distance, married last year ????????????????and hopefully this year we finally get to live in the same place. no more goodbyes. ??????",7 years of long distance married last year and hopefully this year we finally get to live in the same place no more goodbyes , years of long distance married last year and hopefully this year we finally get to live in the same place no more goodbyes ,years of long distance married last year and hopefully this year we finally get to live in the same place no more goodbye,years long distance married last year hopefully year finally get live place goodbye,year long distanc marri last year hope year final get live place goodby,year long distance marry last year hopefully year finally get live place goodbye
averynieto6,We did off and on long distance for 8 months then realized that it would be permanent long distance for the next 3 years and 2 weeks later we broke up we've been broken up for almost 3 months and I miss him everyday I wasn believe that we can get back together but I know deep down it will never work,We did off and on long distance for 8 months then realized that it would be permanent long distance for the next 3 years and 2 weeks later we broke up we've been broken up for almost 3 months and I miss him everyday I wasn believe that we can get back together but I know deep down it will never work,we did off and on long distance for 8 months then realized that it would be permanent long distance for the next 3 years and 2 weeks later we broke up we've been broken up for almost 3 months and i miss him everyday i wasn believe that we can get back together but i know deep down it will never work,we did off and on long distance for 8 months then realized that it would be permanent long distance for the next 3 years and 2 weeks later we broke up we've been broken up for almost 3 months and i miss him everyday i wasn believe that we can get back together but i know deep down it will never work,we did off and on long distance for 8 months then realized that it would be permanent long distance for the next 3 years and 2 weeks later we broke up we've been broken up for almost 3 months and i miss him everyday i wasn believe that we can get back together but i know deep down it will never work,we did off and on long distance for 8 months then realized that it would be permanent long distance for the next 3 years and 2 weeks later we broke up we have been broken up for almost 3 months and i miss him everyday i wasn believe that we can get back together but i know deep down it will never work,we did off and on long distance for 8 months then realized that it would be permanent long distance for the next 3 years and 2 weeks later we broke up we have been broken up for almost 3 months and i miss him everyday i wasn believe that we can get back together but i know deep down it will never work,we did off and on long distance for  months then realized that it would be permanent long distance for the next  years and  weeks later we broke up we have been broken up for almost  months and i miss him everyday i wasn believe that we can get back together but i know deep down it will never work,we did off and on long distance for months then realized that it would be permanent long distance for the next years and weeks later we broke up we have been broken up for almost months and i miss him everyday i wasn believe that we can get back together but i know deep down it will never work,long distance months realized would permanent long distance next years weeks later broke broken almost months miss everyday believe get back together know deep never work,long distanc month realiz would perman long distanc next year week later broke broken almost month miss everyday believ get back togeth know deep never work,long distance month realize would permanent long distance next year week later break break almost month miss everyday believe get back together know deep never work
kacang_an,"ldr will be smooth if the man's love is bigger than the woman's love. not just one side, both sides should know how to make the chat interesting. We can be clingy but at the same time be mature","ldr will be smooth if the man's love is bigger than the woman's love. not just one side, both sides should know how to make the chat interesting. We can be clingy but at the same time be mature","ldr will be smooth if the man's love is bigger than the woman's love. not just one side, both sides should know how to make the chat interesting. we can be clingy but at the same time be mature","ldr will be smooth if the man's love is bigger than the woman's love. not just one side, both sides should know how to make the chat interesting. we can be clingy but at the same time be mature","ldr will be smooth if the man's love is bigger than the woman's love. not just one side, both sides should know how to make the chat interesting. we can be clingy but at the same time be mature","ldr will be smooth if the man's love is bigger than the woman's love. not just one side, both sides should know how to make the chat interesting. we can be clingy but at the same time be mature",ldr will be smooth if the mans love is bigger than the womans love not just one side both sides should know how to make the chat interesting we can be clingy but at the same time be mature,ldr will be smooth if the mans love is bigger than the womans love not just one side both sides should know how to make the chat interesting we can be clingy but at the same time be mature,ldr will be smooth if the mans love is bigger than the woman love not just one side both sides should know how to make the chat interesting we can be cling but at the same time be mature,ldr smooth mans love bigger woman love one side sides know make chat interesting cling time mature,ldr smooth man love bigger woman love one side side know make chat interest cling time matur,ldr smooth man love big woman love one side side know make chat interest cling time mature
edr.xx,"aku ldr beda kota, perjalan cuma beda sejam tp pacarku org yg super sibuk, tp bnyk yg kaget klo kita bisa sampe ga chatan lebih dri sehari 2hri disaat ak ngrasa seneng pas dia sibuk aku bisa fokus","I live in different cities, my journey is only an hour apart but my boyfriend is a super busy person, but many people are surprised that we can not chat for more than a day or two when I feel happy when he is busy I can focus","i live in different cities, my journey is only an hour apart but my boyfriend is a super busy person, but many people are surprised that we can not chat for more than a day or two when i feel happy when he is busy i can focus","i live in different cities, my journey is only an hour apart but my boyfriend is a super busy person, but many people are surprised that we can not chat for more than a day or two when i feel happy when he is busy i can focus","i live in different cities, my journey is only an hour apart but my boyfriend is a super busy person, but many people are surprised that we can not chat for more than a day or two when i feel happy when he is busy i can focus","i live in different cities, my journey is only an hour apart but my boyfriend is a super busy person, but many people are surprised that we can not chat for more than a day or two when i feel happy when he is busy i can focus",i live in different cities my journey is only an hour apart but my boyfriend is a super busy person but many people are surprised that we can not chat for more than a day or two when i feel happy when he is busy i can focus,i live in different cities my journey is only an hour apart but my boyfriend is a super busy person but many people are surprised that we can not chat for more than a day or two when i feel happy when he is busy i can focus,i live in different cities my journey is only an hour apart but my boyfriend is a super busy person but many people are surprised that we can not chat for more than a day or two when i feel happy when he is busy i can focus,live different cities journey hour apart boyfriend super busy person many people surprised chat day two feel happy busy focus,live differ citi journey hour apart boyfriend super busi person mani peopl surpris chat day two feel happi busi focu,live different city journey hour apart boyfriend super busy person many people surprise chat day two feel happy busy focus
paugarroo,wasted 4 years of my life in a LDR never again!,wasted 4 years of my life in a LDR never again!,wasted 4 years of my life in a ldr never again!,wasted 4 years of my life in a ldr never again!,wasted 4 years of my life in a ldr never again!,wasted 4 years of my life in a ldr never again!,wasted 4 years of my life in a ldr never again,wasted  years of my life in a ldr never again,wasted years of my life in a ldr never again,wasted years life ldr never,wast year life ldr never,waste year life ldr never
xx.1004,"i remember 3 years ago i laid in my bed so sad, just wishing i could touch and see my man in person and i was so jealous of all the couples that got to see eachother on the daily. we are now married and live in our own home together. it gets better!!??","i remember 3 years ago i laid in my bed so sad, just wishing i could touch and see my man in person and i was so jealous of all the couples that got to see eachother on the daily. we are now married and live in our own home together. it gets better!!??","i remember 3 years ago i laid in my bed so sad, just wishing i could touch and see my man in person and i was so jealous of all the couples that got to see eachother on the daily. we are now married and live in our own home together. it gets better!!??","i remember 3 years ago i laid in my bed so sad, just wishing i could touch and see my man in person and i was so jealous of all the couples that got to see eachother on the daily. we are now married and live in our own home together. it gets better!!??","i remember 3 years ago i laid in my bed so sad, just wishing i could touch and see my man in person and i was so jealous of all the couples that got to see eachother on the daily. we are now married and live in our own home together. it gets better!!??","i remember 3 years ago i laid in my bed so sad, just wishing i could touch and see my man in person and i was so jealous of all the couples that got to see eachother on the daily. we are now married and live in our own home together. it gets better!!??",i remember 3 years ago i laid in my bed so sad just wishing i could touch and see my man in person and i was so jealous of all the couples that got to see eachother on the daily we are now married and live in our own home together it gets better,i remember  years ago i laid in my bed so sad just wishing i could touch and see my man in person and i was so jealous of all the couples that got to see eachother on the daily we are now married and live in our own home together it gets better,i remember years ago i laid in my bed so sad just wishing i could touch and see my man in person and i was so jealous of all the couples that got to see eachother on the daily we are now married and live in our own home together it gets better,remember years ago laid bed sad wishing could touch see man person jealous couples got see eachother daily married live home together gets better,rememb year ago laid bed sad wish could touch see man person jealou coupl got see eachoth daili marri live home togeth get better,remember year ago lay bed sad wishing could touch see man person jealous couple get see eachother daily marry live home together get well
user52829769682109374972,"Thankyou. As someone who's been long distance for 2 years and 8 months. Every goodbye hurts a bit more, but I'm grateful to take flights every 3-4 months to see each other. To have a love so strong that we yearn for each other and are working towards something way bigger for both of our futures. It'll be worth it.","Thankyou. As someone who's been long distance for 2 years and 8 months. Every goodbye hurts a bit more, but I'm grateful to take flights every 3-4 months to see each other. To have a love so strong that we yearn for each other and are working towards something way bigger for both of our futures. It'll be worth it.","thankyou. as someone who's been long distance for 2 years and 8 months. every goodbye hurts a bit more, but i'm grateful to take flights every 3-4 months to see each other. to have a love so strong that we yearn for each other and are working towards something way bigger for both of our futures. it'll be worth it.","thankyou. as someone who's been long distance for 2 years and 8 months. every goodbye hurts a bit more, but i'm grateful to take flights every 3-4 months to see each other. to have a love so strong that we yearn for each other and are working towards something way bigger for both of our futures. it'll be worth it.","thankyou. as someone who's been long distance for 2 years and 8 months. every goodbye hurts a bit more, but i'm grateful to take flights every 3-4 months to see each other. to have a love so strong that we yearn for each other and are working towards something way bigger for both of our futures. it'll be worth it.","thankyou. as someone who is been long distance for 2 years and 8 months. every goodbye hurts a bit more, but i am grateful to take flights every 3-4 months to see each other. to have a love so strong that we yearn for each other and are working towards something way bigger for both of our futures. it'll be worth it.",thankyou as someone who is been long distance for 2 years and 8 months every goodbye hurts a bit more but i am grateful to take flights every 34 months to see each other to have a love so strong that we yearn for each other and are working towards something way bigger for both of our futures itll be worth it,thankyou as someone who is been long distance for  years and  months every goodbye hurts a bit more but i am grateful to take flights every  months to see each other to have a love so strong that we yearn for each other and are working towards something way bigger for both of our futures itll be worth it,thankyou as someone who is been long distance for years and months every goodbye hurts a bit more but i am grateful to take flights every months to see each other to have a love so strong that we year for each other and are working towards something way bigger for both of our futures till be worth it,thankyou someone long distance years months every goodbye hurts bit grateful take flights every months see love strong year working towards something way bigger futures till worth,thankyou someon long distanc year month everi goodby hurt bit grate take flight everi month see love strong year work toward someth way bigger futur till worth,thankyou someone long distance year month every goodbye hurt bit grateful take flight every month see love strong year work towards something way big future till worth
angieandjohann,Been long distance for 1 year and 6 months and honestly .. its hard but goddamn its worth it .,Been long distance for 1 year and 6 months and honestly .. its hard but goddamn its worth it .,been long distance for 1 year and 6 months and honestly .. its hard but goddamn its worth it .,been long distance for 1 year and 6 months and honestly .. its hard but goddamn its worth it .,been long distance for 1 year and 6 months and honestly .. its hard but goddamn its worth it .,been long distance for 1 year and 6 months and honestly .. its hard but goddamn its worth it .,been long distance for 1 year and 6 months and honestly  its hard but goddamn its worth it ,been long distance for  year and  months and honestly  its hard but goddamn its worth it ,been long distance for year and months and honestly its hard but goldman its worth it,long distance year months honestly its hard goldman its worth,long distanc year month honestli it hard goldman it worth,long distance year month honestly its hard goldman its worth
lechuz.ane2,"2 years done 2 more to go, 8000km / 5000 miles apart and for the first time we also have 7hr difference and god i hate it but my man is worth it. it gets easier.. i cry when we are about to leave again but then you get used to a routine. we do discord calls & share meals & watch shows &play games & fall asleep together and stay on the call for as long as we can just sit in silence or literally anything. now with time difference it's much harder but we still try to talk at least for 30min-1h per day on call & we text through the day and update each other. it's hard but worth it every second","2 years done 2 more to go, 8000km / 5000 miles apart and for the first time we also have 7hr difference and god i hate it but my man is worth it. it gets easier.. i cry when we are about to leave again but then you get used to a routine. we do discord calls & share meals & watch shows &play games & fall asleep together and stay on the call for as long as we can just sit in silence or literally anything. now with time difference it's much harder but we still try to talk at least for 30min-1h per day on call & we text through the day and update each other. it's hard but worth it every second","2 years done 2 more to go, 8000km / 5000 miles apart and for the first time we also have 7hr difference and god i hate it but my man is worth it. it gets easier.. i cry when we are about to leave again but then you get used to a routine. we do discord calls & share meals & watch shows &play games & fall asleep together and stay on the call for as long as we can just sit in silence or literally anything. now with time difference it's much harder but we still try to talk at least for 30min-1h per day on call & we text through the day and update each other. it's hard but worth it every second","2 years done 2 more to go, 8000km / 5000 miles apart and for the first time we also have 7hr difference and god i hate it but my man is worth it. it gets easier.. i cry when we are about to leave again but then you get used to a routine. we do discord calls & share meals & watch shows &play games & fall asleep together and stay on the call for as long as we can just sit in silence or literally anything. now with time difference it's much harder but we still try to talk at least for 30min-1h per day on call & we text through the day and update each other. it's hard but worth it every second","2 years done 2 more to go, 8000km / 5000 miles apart and for the first time we also have 7hr difference and god i hate it but my man is worth it. it gets easier.. i cry when we are about to leave again but then you get used to a routine. we do discord calls & share meals & watch shows &play games & fall asleep together and stay on the call for as long as we can just sit in silence or literally anything. now with time difference it's much harder but we still try to talk at least for 30min-1h per day on call & we text through the day and update each other. it's hard but worth it every second","2 years done 2 more to go, 8000km / 5000 miles apart and for the first time we also have 7hr difference and god i hate it but my man is worth it. it gets easier.. i cry when we are about to leave again but then you get used to a routine. we do discord calls & share meals & watch shows &play games & fall asleep together and stay on the call for as long as we can just sit in silence or literally anything. now with time difference it is much harder but we still try to talk at least for 30min-1h per day on call & we text through the day and update each other. it is hard but worth it every second",2 years done 2 more to go 8000km  5000 miles apart and for the first time we also have 7hr difference and god i hate it but my man is worth it it gets easier i cry when we are about to leave again but then you get used to a routine we do discord calls  share meals  watch shows play games  fall asleep together and stay on the call for as long as we can just sit in silence or literally anything now with time difference it is much harder but we still try to talk at least for 30min1h per day on call  we text through the day and update each other it is hard but worth it every second, years done  more to go km   miles apart and for the first time we also have hr difference and god i hate it but my man is worth it it gets easier i cry when we are about to leave again but then you get used to a routine we do discord calls  share meals  watch shows play games  fall asleep together and stay on the call for as long as we can just sit in silence or literally anything now with time difference it is much harder but we still try to talk at least for minh per day on call  we text through the day and update each other it is hard but worth it every second,years done more to go km miles apart and for the first time we also have hr difference and god i hate it but my man is worth it it gets easier i cry when we are about to leave again but then you get used to a routine we do discord calls share meals watch shows play games fall asleep together and stay on the call for as long as we can just sit in silence or literally anything now with time difference it is much harder but we still try to talk at least for min per day on call we text through the day and update each other it is hard but worth it every second,years done go km miles apart first time also hr difference god hate man worth gets easier cry leave get used routine discord calls share meals watch shows play games fall asleep together stay call long sit silence literally anything time difference much harder still try talk least min per day call text day update hard worth every second,year done go km mile apart first time also hr differ god hate man worth get easier cri leav get use routin discord call share meal watch show play game fall asleep togeth stay call long sit silenc liter anyth time differ much harder still tri talk least min per day call text day updat hard worth everi second,year do go km mile apart first time also hr difference god hate man worth get easy cry leave get use routine discord call share meal watch show play game fall asleep together stay call long sit silence literally anything time difference much harder still try talk least min per day call text day update hard worth every second
zo.silver,"Did 3 years long distance while I studied abroad, and it was hard (but I did come home for 3 months each summer) but if anything I think it made our relationship stronger! Next month is our first wedding anniversary ??","Did 3 years long distance while I studied abroad, and it was hard (but I did come home for 3 months each summer) but if anything I think it made our relationship stronger! Next month is our first wedding anniversary ??","did 3 years long distance while i studied abroad, and it was hard (but i did come home for 3 months each summer) but if anything i think it made our relationship stronger! next month is our first wedding anniversary ??","did 3 years long distance while i studied abroad, and it was hard (but i did come home for 3 months each summer) but if anything i think it made our relationship stronger! next month is our first wedding anniversary ??","did 3 years long distance while i studied abroad, and it was hard (but i did come home for 3 months each summer) but if anything i think it made our relationship stronger! next month is our first wedding anniversary ??","did 3 years long distance while i studied abroad, and it was hard (but i did come home for 3 months each summer) but if anything i think it made our relationship stronger! next month is our first wedding anniversary ??",did 3 years long distance while i studied abroad and it was hard but i did come home for 3 months each summer but if anything i think it made our relationship stronger next month is our first wedding anniversary ,did  years long distance while i studied abroad and it was hard but i did come home for  months each summer but if anything i think it made our relationship stronger next month is our first wedding anniversary ,did years long distance while i studied abroad and it was hard but i did come home for months each summer but if anything i think it made our relationship stronger next month is our first wedding anniversary,years long distance studied abroad hard come home months summer anything think made relationship stronger next month first wedding anniversary,year long distanc studi abroad hard come home month summer anyth think made relationship stronger next month first wed anniversari,year long distance study abroad hard come home month summer anything think make relationship strong next month first wed anniversary
jjjimenaaa,"Its the hardest thing Ive ever had to go through. Keep yourself busy, suround yourself with people that bring you joy, do as many things as you can that bring you joy. But at the end of the day itll be hard. Allow yourself to cry and to feel the sadness. Tell him about it and let him comfort you. You dont wanna go through the darkness alone.","Its the hardest thing Ive ever had to go through. Keep yourself busy, suround yourself with people that bring you joy, do as many things as you can that bring you joy. But at the end of the day itll be hard. Allow yourself to cry and to feel the sadness. Tell him about it and let him comfort you. You dont wanna go through the darkness alone.","its the hardest thing ive ever had to go through. keep yourself busy, suround yourself with people that bring you joy, do as many things as you can that bring you joy. but at the end of the day itll be hard. allow yourself to cry and to feel the sadness. tell him about it and let him comfort you. you dont wanna go through the darkness alone.","its the hardest thing ive ever had to go through. keep yourself busy, suround yourself with people that bring you joy, do as many things as you can that bring you joy. but at the end of the day itll be hard. allow yourself to cry and to feel the sadness. tell him about it and let him comfort you. you dont wanna go through the darkness alone.","its the hardest thing ive ever had to go through. keep yourself busy, suround yourself with people that bring you joy, do as many things as you can that bring you joy. but at the end of the day itll be hard. allow yourself to cry and to feel the sadness. tell him about it and let him comfort you. you dont wanna go through the darkness alone.","its the hardest thing ive ever had to go through. keep yourself busy, suround yourself with people that bring you joy, do as many things as you can that bring you joy. but at the end of the day itll be hard. allow yourself to cry and to feel the sadness. tell him about it and let him comfort you. you dont wanna go through the darkness alone.",its the hardest thing ive ever had to go through keep yourself busy suround yourself with people that bring you joy do as many things as you can that bring you joy but at the end of the day itll be hard allow yourself to cry and to feel the sadness tell him about it and let him comfort you you dont wanna go through the darkness alone,its the hardest thing ive ever had to go through keep yourself busy suround yourself with people that bring you joy do as many things as you can that bring you joy but at the end of the day itll be hard allow yourself to cry and to feel the sadness tell him about it and let him comfort you you dont wanna go through the darkness alone,its the hardest thing ive ever had to go through keep yourself busy surround yourself with people that bring you joy do as many things as you can that bring you joy but at the end of the day itll be hard allow yourself to cry and to feel the sadness tell him about it and let him comfort you you dont wanna go through the darkness alone,its hardest thing ive ever go keep busy surround people bring joy many things bring joy end day itll hard allow cry feel sadness tell let comfort dont wanna go darkness alone,it hardest thing iv ever go keep busi surround peopl bring joy mani thing bring joy end day itll hard allow cri feel sad tell let comfort dont wanna go dark alon,its hard thing ive ever go keep busy surround people bring joy many thing bring joy end day itll hard allow cry feel sadness tell let comfort dont wan na go darkness alone
mersadeslakelyn,"we've been long-distance for a year, but luckily we've been able to visit each other at least once a month. it's been hard, but he gets back in a few weeks and then we move in together??","we've been long-distance for a year, but luckily we've been able to visit each other at least once a month. it's been hard, but he gets back in a few weeks and then we move in together??","we've been long-distance for a year, but luckily we've been able to visit each other at least once a month. it's been hard, but he gets back in a few weeks and then we move in together??","we've been long-distance for a year, but luckily we've been able to visit each other at least once a month. it's been hard, but he gets back in a few weeks and then we move in together??","we've been long-distance for a year, but luckily we've been able to visit each other at least once a month. it's been hard, but he gets back in a few weeks and then we move in together??","we have been long-distance for a year, but luckily we have been able to visit each other at least once a month. it is been hard, but he gets back in a few weeks and then we move in together??",we have been longdistance for a year but luckily we have been able to visit each other at least once a month it is been hard but he gets back in a few weeks and then we move in together,we have been longdistance for a year but luckily we have been able to visit each other at least once a month it is been hard but he gets back in a few weeks and then we move in together,we have been longdistance for a year but lucky we have been able to visit each other at least once a month it is been hard but he gets back in a few weeks and then we move in together,longdistance year lucky able visit least month hard gets back weeks move together,longdist year lucki abl visit least month hard get back week move togeth,longdistance year lucky able visit least month hard get back week move together
bajablasturmom420,It's hard but if you TRULY love each other it'll work! My fiancé and I were long distance for over 3 years and now are living together happily engaged! We've been together over 4 years now and are getting married this year ?? it's hard but worth it!,It's hard but if you TRULY love each other it'll work! My fiancé and I were long distance for over 3 years and now are living together happily engaged! We've been together over 4 years now and are getting married this year ?? it's hard but worth it!,it's hard but if you truly love each other it'll work! my fiancé and i were long distance for over 3 years and now are living together happily engaged! we've been together over 4 years now and are getting married this year ?? it's hard but worth it!,it's hard but if you truly love each other it'll work! my fiancé and i were long distance for over 3 years and now are living together happily engaged! we've been together over 4 years now and are getting married this year ?? it's hard but worth it!,it's hard but if you truly love each other it'll work! my fiancé and i were long distance for over 3 years and now are living together happily engaged! we've been together over 4 years now and are getting married this year ?? it's hard but worth it!,it is hard but if you truly love each other it'll work! my fiancé and i were long distance for over 3 years and now are living together happily engaged! we have been together over 4 years now and are getting married this year ?? it is hard but worth it!,it is hard but if you truly love each other itll work my fiancé and i were long distance for over 3 years and now are living together happily engaged we have been together over 4 years now and are getting married this year  it is hard but worth it,it is hard but if you truly love each other itll work my fiancé and i were long distance for over  years and now are living together happily engaged we have been together over  years now and are getting married this year  it is hard but worth it,it is hard but if you truly love each other till work my fiancé and i were long distance for over years and now are living together happily engaged we have been together over years now and are getting married this year it is hard but worth it,hard truly love till work fiancé long distance years living together happily engaged together years getting married year hard worth,hard truli love till work fiancé long distanc year live togeth happili engag togeth year get marri year hard worth,hard truly love till work fiancé long distance year live together happily engage together year get married year hard worth
